mode,n,time_ns,result
iter,10,1669,55
iter,10,1632,55
iter,10,1775,55
iter,10,1638,55
iter,10,1776,55
iter,10,1624,55
iter,10,1743,55
iter,10,1671,55
iter,10,1884,55
iter,10,1796,55
iter,10,1700,55
iter,10,1628,55
iter,10,1629,55
iter,10,1895,55
iter,10,2128,55
iter,10,1701,55
iter,10,1687,55
iter,10,2124,55
iter,10,1722,55
iter,10,1729,55
iter,10,1889,55
iter,10,2898,55
iter,10,2055,55
iter,10,2283,55
iter,10,1844,55
iter,10,1774,55
iter,10,1979,55
iter,10,1721,55
iter,10,1771,55
iter,10,1924,55
iter,10,1760,55
iter,10,1787,55
iter,10,1758,55
iter,10,1687,55
iter,10,1663,55
iter,10,1854,55
iter,10,1917,55
iter,10,1827,55
iter,10,1686,55
iter,10,1723,55
iter,10,1781,55
iter,10,1825,55
iter,10,1705,55
iter,10,1755,55
iter,10,1663,55
iter,10,1769,55
iter,10,1776,55
iter,10,1772,55
iter,10,1721,55
iter,10,1849,55
iter,10,1709,55
iter,10,1747,55
iter,10,1775,55
iter,10,1720,55
iter,10,2127,55
iter,10,1839,55
iter,10,1830,55
iter,10,2099,55
iter,10,1766,55
iter,10,1700,55
iter,10,1737,55
iter,10,1767,55
iter,10,1679,55
iter,10,1914,55
iter,10,1673,55
iter,10,1675,55
iter,10,1737,55
iter,10,1686,55
iter,10,2029,55
iter,10,1658,55
iter,10,1831,55
iter,10,1672,55
iter,10,1848,55
iter,10,1807,55
iter,10,1598,55
iter,10,1765,55
iter,10,1740,55
iter,10,1799,55
iter,10,1908,55
iter,10,1640,55
iter,10,1848,55
iter,10,1743,55
iter,10,1635,55
iter,10,1694,55
iter,10,1761,55
iter,10,1699,55
iter,10,1782,55
iter,10,1828,55
iter,10,1703,55
iter,10,1770,55
iter,10,1854,55
iter,10,1872,55
iter,10,1856,55
iter,10,1686,55
iter,10,1855,55
iter,10,2115,55
iter,10,1902,55
iter,10,1841,55
iter,10,1636,55
iter,11,1754,89
iter,11,1643,89
iter,11,1721,89
iter,11,1675,89
iter,11,1660,89
iter,11,1795,89
iter,11,1921,89
iter,11,3395,89
iter,11,2366,89
iter,11,1952,89
iter,11,1837,89
iter,11,1662,89
iter,11,1749,89
iter,11,2115,89
iter,11,1796,89
iter,11,2031,89
iter,11,3025,89
iter,11,1816,89
iter,11,1768,89
iter,11,1677,89
iter,11,1716,89
iter,11,1775,89
iter,11,1756,89
iter,11,1633,89
iter,11,1701,89
iter,11,1743,89
iter,11,1753,89
iter,11,2181,89
iter,11,1610,89
iter,11,1685,89
iter,11,1657,89
iter,11,1621,89
iter,11,1793,89
iter,11,1802,89
iter,11,1776,89
iter,11,2539,89
iter,11,1974,89
iter,11,1701,89
iter,11,1909,89
iter,11,2006,89
iter,11,1810,89
iter,11,1726,89
iter,11,1773,89
iter,11,1873,89
iter,11,1951,89
iter,11,1744,89
iter,11,2101,89
iter,11,1926,89
iter,11,1795,89
iter,11,1707,89
iter,11,1820,89
iter,11,1726,89
iter,11,1821,89
iter,11,1783,89
iter,11,1829,89
iter,11,1969,89
iter,11,2969,89
iter,11,2399,89
iter,11,1791,89
iter,11,3092,89
iter,11,1829,89
iter,11,1700,89
iter,11,2771,89
iter,11,1734,89
iter,11,1705,89
iter,11,2059,89
iter,11,2549,89
iter,11,1676,89
iter,11,2448,89
iter,11,1821,89
iter,11,1858,89
iter,11,1762,89
iter,11,1717,89
iter,11,1766,89
iter,11,1636,89
iter,11,1830,89
iter,11,1890,89
iter,11,1726,89
iter,11,1915,89
iter,11,1706,89
